标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
正南 3室2厅 企业力荐好房诚意出售,3,2,1,108.52㎡,南,低层(共34层),2019年建造,喜瑞都,洪山,白沙洲,白沙三路,15482元/㎡,168万
5号地铁口 派克公馆 精装三室 楼层采光视野好,3,2,1,94.62㎡,南北,低层(共40层),2020年建造,绿地派克公馆,青山,和平大道,和平大道1650号,12049元/㎡,114万
三金华都 次新小区 正规复式 三房两卫 住宅带天然 随时看房,3,2,2,86.3㎡,南,高层(共29层),2011年建造,三金华都,江汉,新华路,新华路738号,19120元/㎡,165万
新奥依江畔园 精装修 满五 84平 2室1厅 楼层好 诚意卖,2,1,1,84.29㎡,南北,低层(共21层),2007年建造,新奥依江畔园,青山,红钢城,临江大道868号,15186元/㎡,128万
奥莱旁，地铁400米，盘龙湾全南户型，中层采光好,2,2,1,86.04㎡,南,中层(共33层),2016年建造,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,8369元/㎡,72万
精装修 保利香颂 南北通透 电梯房 采光好 周边商圈成熟,3,2,2,110.67㎡,南北,高层(共33层),2020年建造,保利香颂,汉阳,升官渡,四新大道,17169元/㎡,190万
大华 样板间装修。光线好 地段好 任中旁边,2,2,1,81.57㎡,南,高层(共34层),2017年建造,大华铂金郦府,青山,余家头,旅大街21号,19125元/㎡,156万
诚售 金科城 满二 中间楼层 通透毛坯大三房 价格可谈,3,2,2,113.41㎡,南北,中层(共48层),2018年建造,金科城,洪山,欢乐谷,仁和路98号,18077元/㎡,205万
菱角湖公园 高层看湖 三眼桥双地铁口 毛坯两房70年住宅,2,1,1,66.52㎡,南北,中层(共44层),2019年建造,万科金域时代,江汉,北湖,台北路295号,20746元/㎡,138万
115平 电梯房 满五 星悦城二期 3室2厅 南北通透 楼层,3,2,2,115.71㎡,南北,中层(共23层),2014年建造,星悦城二期,江岸,后湖,罗家嘴路28号,17717元/㎡,205万
军运村地铁站旁 南北通透三房直降拾伍万急甩,3,2,2,108.01㎡,南北,低层(共34层),2022年建造,武汉融创城,江夏,文化大道,黄家湖大道,11648元/㎡,125.8万
江汉大学 联投金色港湾 精装大三房 南北通透  性价比极高,3,2,2,123.31㎡,南北,中层(共33层),2017年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,14517元/㎡,179万
金地商圈 近地铁 复式楼 通透户型 两房朝南 精装 满五  ,4,2,1,96.43㎡,南,高层(共7层),2004年建造,金鹤园(北区),洪山,欢乐谷,祥丰路138号,10578元/㎡,102万
光谷东新城 璞樾门第109平206万 3000元装修标准,3,2,2,109.84㎡,南,低层(共33层),2022年建造,新城璞樾门第,洪山,光谷东,佛祖岭东街4号,18755元/㎡,206万
仁和路地铁旁   金地自在城   临东湖  三室带阳光房,3,2,1,88.97㎡,南,中层(共34层),2015年建造,金地自在城(东区K3),洪山,欢乐谷,丰园路5号,20794元/㎡,185万
朋友委托出售 满二精装 江南御景 三室两厅 税费少,3,2,1,93.01㎡,南,高层(共32层),2018年建造,铁投江南御景,青山,冶金大道,鄂州街5号,18601元/㎡,173万
3室1厅 地铁鑫城 电梯房 采光好 周边商圈成熟,3,1,1,88㎡,西南,低层(共32层),2016年建造,地铁鑫城,江岸,二七路,解放大道2007号,19546元/㎡,172万
新城璟棠 南北通透 3房 业主一天没住过全新房 看房方便,3,2,2,108.6㎡,南北,低层(共32层),2020年建造,新城璟棠,汉阳,四新,四新中路,17035元/㎡,185万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,84.55㎡,南,高层(共32层),2012年建造,歌林花园,黄陂,盘龙城,巨龙大道159号,8871元/㎡,75万
正南 2室2厅 精装修,2,2,1,70.19㎡,南,低层(共48层),2020年建造,中海澳门佳园,江岸,江汉路,解放大道,31985元/㎡,224.5万
正南 3室2厅 精装修,3,2,1,89.84㎡,南,低层(共34层),2015年建造,中建开元公馆,青山,建设二路,建设二路11号,22151元/㎡,199万
满五   正南 3室2厅 精装修,3,2,1,92.96㎡,南,低层(共33层),2013年建造,保利心语(九期),洪山,新南湖,野芷湖南路5号,16126元/㎡,149.9万
万科汉阳国际精装两房 中间楼层 诚心出售,2,2,1,81.46㎡,南,低层(共34层),2014年建造,万科汉阳国际B区,汉阳,王家湾,康达街10号,15714元/㎡,128万
（真）满二 家电全送 新武昌旁 保利上城 精装三房来那个两卫,3,2,2,109.77㎡,南北,高层(共40层),2018年建造,保利上城西区,洪山,白沙洲,峰胜路20号,17401元/㎡,191万
7号线地铁口巡司河湿地公园旁东原晴天见毛坯三房业主诚心出售,3,2,1,86.73㎡,南北,中层(共45层),2016年建造,东原晴天见,洪山,新南湖,南湖小路28号,16834元/㎡,146万
新二环，保利上城西区，双卫正朝南，阔景阳台，满二,3,2,2,104㎡,南北,高层(共31层),2019年建造,保利上城西区,洪山,白沙洲,峰胜路20号,17020元/㎡,177万
88平160万急售 千禧城 毛坯好两房 南北通透 老证税少,2,2,1,88.65㎡,南北,中层(共47层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,18049元/㎡,160万
105平 133万 2室2厅 南北通透 满五 青年广场采光好,2,2,1,105.58㎡,南北,中层(共28层),2000年建造,青年广场,江汉,万松园,青年路284号,13071元/㎡,138万
南北通透 2室2厅 精装修,2,2,2,95.55㎡,南北,中层(共7层),2002年建造,金梭花园,洪山,光谷广场,创业街59号,18316元/㎡,175万
古田三路轻轨旁的花园小区，电梯小高层一梯两户，南北通透采光好,3,2,2,129.63㎡,南北,中层(共11层),2006年建造,东方花城,硚口,古田,古田路67号,13655元/㎡,177万
万科品质 精装2房，老证 拎包入住 性价比高,2,2,1,64.69㎡,南,高层(共34层),2015年建造,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,17314元/㎡,112万
长江新区 精装修电梯房 南北通透 楼层好 周边商圈成熟,2,2,1,85㎡,南北,中层(共29层),2018年建造,百隆东方城,黄陂,武湖,汉施公路,7059元/㎡,60万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,89.11㎡,南,高层(共31层),2015年建造,花样年花郡(二期),洪山,欢乐谷,丰园路6号,18854元/㎡,168万
洪山区102平 金地西岸故事 精装修 采光好 周边商圈成熟,3,2,1,102.19㎡,南北,低层(共33层),2011年建造,金地西岸故事,洪山,珞狮南路,珞狮路254号,17125元/㎡,175万
满二 当代满庭春MOMA 3室2厅 南北通透 115平,3,2,2,115㎡,南北,高层(共32层),2019年建造,当代满庭春MOMA,新洲,阳逻开发区,风情大道10号,6087元/㎡,70万
170可卖 保利香槟国际 中间楼栋 电梯中层 随时看,3,2,1,90.64㎡,南北,中层(共33层),2013年建造,保利香槟国际,硚口,宗关,汉西一路49号,19959元/㎡,180.9万
新出 现代城四区   大三室（必看好房）紧邻永旺超市 双地铁,3,2,1,114.11㎡,南,低层(共32层),2008年建造,百步亭现代城四区,江岸,百步亭,百花一路38号,23662元/㎡,270万
南北通透 4室2厅 精装修,4,2,2,128.38㎡,南北,低层(共45层),2017年建造,江夏江南新天地,江夏,文化大道,文化大道36号,10906元/㎡,140万
江山樾 109平 3室2厅 南北通透 居家自住 保养好,3,2,2,109.4㎡,南北,高层(共31层),2014年建造,江山樾,硚口,古田,沿河大道626号,15083元/㎡,165万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,96.29㎡,南,高层(共33层),2018年建造,前川欣城(二期),黄陂,前川,前川大道463号,9451元/㎡,91万
广信万汇城，精装婚房，中间楼层，诚心出售，万科物业。,3,2,1,97.3㎡,南,中层(共26层),2018年建造,广信万汇城,江夏,庙山,江夏大道14号,13258元/㎡,129万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,130.18㎡,南北,低层(共31层),2018年建造,联投龙湾(三期),江夏,文化大道,武昌大道,9219元/㎡,120万
阳光花园 新湾五路 通透户型 2房2厅2卫 一梯2户 公摊小,2,2,2,91㎡,南北,中层(共7层),2004年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,18682元/㎡,170万
武湖地铁口 豪华装修 满五   单价低 随时可以看房,2,2,1,88.82㎡,南北,低层(共28层),2018年建造,百隆东方城,黄陂,武湖,汉施公路,8219元/㎡,73万
97平 电梯房 满二 精装修 美联(四期) 居家自住保养好,3,2,1,97.6㎡,南,中层(共33层),2015年建造,美联奥林匹克花园(四期),东西湖,常青花园,奥园西路3号,16251元/㎡,158.6万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,118.19㎡,南北,高层(共33层),2012年建造,保利华都,洪山,卓刀泉,虎泉街299号,26906元/㎡,318万
带露台，阳光房！金色雅园二期，红领巾豪装3房，低楼层出售！,3,2,2,129.9㎡,南,低层(共7层),2003年建造,金色雅园金沙苑,江汉,常青,新湾二路16号,22325元/㎡,290万
急卖单价低 仁和路 星桥苑 金科城旁 精装大两房 视野无遮挡,2,2,1,100.11㎡,南北,中层(共7层),2001年建造,星桥苑小区,洪山,欢乐谷,友谊大道988号,11987元/㎡,120万
二环 唐家墩地铁口 次新房顶琇国际城  纯毛坯 老证 有钥匙,3,2,2,93.06㎡,南,高层(共48层),2017年建造,顶琇国际城,江汉,唐家墩,发展大道239号,19020元/㎡,177万
光谷青年城朝南100平好户型总价低随时看房,2,1,1,98.87㎡,南北,中层(共33层),2015年建造,光谷青年城(一期),洪山,关山,新竹路5号,10317元/㎡,102万
南北通透 3室2厅 精装修,3,2,1,111.82㎡,南北,高层(共7层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,15651元/㎡,175万
天街旁 自带商圈 双轨交通  育才系  诚心出售,3,2,1,101.33㎡,南北,高层(共39层),2018年建造,福星惠誉榜样,江岸,百步亭,后湖大道328号,16777元/㎡,170万
南北通透 4室2厅 企业力荐好房诚意出售,4,2,2,159.14㎡,南北,中层(共6层),2021年建造,临空香廷,黄陂,盘龙城,城东路,7855元/㎡,125万
必看好房 福星华府东区 毛坯大三房 大兴实验 老证急售,3,2,2,124.09㎡,南北,高层(共45层),2011年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,15231元/㎡,189万
3室2厅 企业力荐好房诚意出售,3,2,1,125.49㎡,东,低层(共11层),2006年建造,东湖名邸,武昌,东亭,东湖路,16336元/㎡,205万
满二  住房 毛坯房，房东诚心卖，看中可以谈,2,2,1,77.56㎡,南北,高层(共33层),2018年建造,东建金海湾,东西湖,吴家山,金北一路59号,9026元/㎡,70万
一梯两户 旁芳草和二桥    到3号线地铁 楼下公园安静舒适,2,2,1,83.93㎡,南,高层(共9层),2011年建造,南国明珠(三期),汉阳,王家湾,龙珠路,19064元/㎡,160万
保利阅江台K10地块，精装三房近地铁，房东亏本急卖，老证过户,3,2,2,109.5㎡,南北,低层(共24层),2019年建造,保利庭瑞阅江台,汉阳,郭茨口,琴台大道,15434元/㎡,169万
正南 3室2厅 精装修,3,2,1,99.74㎡,南,高层(共33层),2010年建造,金地中心城(西区),洪山,关西,雄楚大道908号,17045元/㎡,170万
南北通透 保利香颂 精装修 电梯房 106平 看房方便 有钥,3,2,2,106.12㎡,南北,低层(共18层),2018年建造,保利香颂,汉阳,升官渡,四新大道,18376元/㎡,195万
精装修 2室2厅 93平 电梯房 南北通透 采光好 周边商圈,2,2,1,93.66㎡,南北,中层(共32层),2016年建造,东西湖中心广场,东西湖,吴家山,东吴大道1248号,12279元/㎡,115万
155可以卖 王家湾中央生活区 106平 南北通透 采光好,3,2,1,106.5㎡,南北,高层(共30层),2017年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,15493元/㎡,165万
南北通透 3室2厅 精装修,3,2,2,124.9㎡,南北,中层(共34层),2015年建造,黄陂人信城,黄陂,前川,前川街188号,8407元/㎡,105万
3室2厅 光谷满庭春MOMA 105平 电梯房 满二 南北通,3,2,1,105.68㎡,南北,高层(共34层),2016年建造,光谷满庭春MOMA,洪山,光谷东,高新二路,17128元/㎡,181万
金银潭地铁口永旺旁 精装3室出售 楼层采光好 衣柜已定制,3,2,1,98.73㎡,南,高层(共26层),2019年建造,美联奥林匹克花园六期,东西湖,将军路,奥园东路,18232元/㎡,180万
联投金色港湾  南北通透 精装修 诚心出售,3,2,1,90.25㎡,南北,低层(共33层),2015年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,14183元/㎡,128万
正南 3室2厅 精装修,3,2,1,93.3㎡,南,中层(共32层),2017年建造,中国铁建梧桐苑,江夏,金融港,民族大道324号,18864元/㎡,176万
宗关 保利香槟国际 三房两厅两卫 房东急置换,3,2,2,120.15㎡,南北,高层(共30层),2015年建造,保利香槟国际,硚口,宗关,汉西一路49号,21224元/㎡,255万
小家碧玉舒适温馨 全朝南的  户型 视野开阔 老证 看房方便,2,2,1,87.31㎡,南,高层(共45层),2008年建造,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,15463元/㎡,135万
一线江景房 精装修  配套齐全 楼下就是华师附小，环境好,3,2,1,92.18㎡,南北,中层(共34层),2015年建造,万科金色城市20地块,洪山,白沙洲,武金堤路,15731元/㎡,145万
满五   正南 2室2厅 精装修,2,2,1,84.23㎡,南,高层(共57层),2014年建造,世茂锦绣长江(4期),汉阳,鹦鹉,滨江大道192号,19590元/㎡,165万
107平 和美社区 3室2厅 南北通透 看房方便 有钥匙,3,2,1,107.78㎡,南北,中层(共8层),1995年建造,和美社区,江岸,台北香港路,台北路147号,14846元/㎡,160万
难得一见的光明上海  精装小户型 总价低，朝向好！,3,2,2,121.18㎡,南北,高层(共47层),2018年建造,光明上海府邸,汉阳,四新,四新北路319号,14854元/㎡,180万
范湖地铁 港信小区 大两室可改三室 业主诚意急售 价格可议,2,2,1,102.54㎡,南北,中层(共7层),2002年建造,港信小区,江汉,唐家墩,新华路389号,14531元/㎡,149万
急售捡漏 蓝光 带暖气精装三房 老证 拎包入住 看房预约,3,2,2,116.06㎡,南,低层(共40层),2017年建造,蓝光林肯公园,硚口,古田,长谊路,12063元/㎡,140万
电梯房 89平 满二 3室2厅 九坤新城壹号 精装修,2,2,1,89.69㎡,南北,高层(共33层),2016年建造,九坤新城壹号,东西湖,吴家山,三店西路,9143元/㎡,82万
正南 3室2厅 精装修,3,2,1,97.28㎡,南,中层(共17层),2018年建造,万润橄榄城,黄陂,盘龙城,宋岗一路1号,7710元/㎡,75万
电梯房 南北通透 92平 满二  住房 精装修 居家自住 保,3,2,1,92.61㎡,南北,低层(共45层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,15658元/㎡,145万
汉口火车站旁 福星城南区 满五   精装修 中高楼层 采光好,3,2,1,96.8㎡,南北,高层(共32层),2008年建造,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,17562元/㎡,170万
满五   南北通透 3室2厅,3,2,1,117.7㎡,南北,中层(共8层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,16568元/㎡,195万
巨龙大道双地铁口，精装四房，送20平入户花园，证满五  ,4,2,2,154.1㎡,南北,低层(共18层),2012年建造,珩生领袖城,黄陂,盘龙城,盘龙大道,6620元/㎡,102万
一线湖景 中大水墨兰轩 上芳草和二桥 12号线地铁口 有钥匙,3,2,2,108.38㎡,南北,中层(共13层),2010年建造,中大水墨兰轩,汉阳,王家湾,芳草路66号,15594元/㎡,169万
保利香颂 户型南北通透 得房率高 视野采光好 周边商圈成熟,3,2,2,122.83㎡,南北,高层(共34层),2018年建造,保利香颂,汉阳,升官渡,四新大道,16283元/㎡,200万
产证满五  ，  楼层视野采光好，东边户，店长力荐精装三房。,3,2,2,117.46㎡,南,中层(共32层),2012年建造,保利心语(八期),洪山,新南湖,野芷湖西路10号,17453元/㎡,205万
捡漏 菩提苑 好楼层 采光充足 房东只带衣服走 随时看房,3,2,1,126.37㎡,南北,中层(共33层),2013年建造,菩提苑,江夏,文化大道,环湖路,11475元/㎡,145万
正南 2室1厅 企业力荐好房诚意出售,2,1,1,91.4㎡,南,中层(共7层),2005年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,18053元/㎡,165万
急售！满二省税！楼层好采光好！ 居家装修保养如新 送全部家私,3,2,1,91.09㎡,南北,高层(共27层),2016年建造,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,12625元/㎡,115万
汉口北轻轨旁 金寓 电梯房 61平 楼层好 视野无遮挡,2,2,1,61.84㎡,南北,中层(共18层),2014年建造,金寓,黄陂,汉口北,汉口北大道16号,3558元/㎡,22万
3室1厅 长宏公寓 满二 91平 采光好 对棋盘街小粮道街中,3,1,1,91.67㎡,南北,中层(共7层),2002年建造,长宏公寓,武昌,粮道街,涵三宫15-19号(单号),17454元/㎡,160万
万科城四期精装修，朝南大2房老证，中间楼层养护好,2,2,1,90.74㎡,北,中层(共23层),2014年建造,万科城,江汉,常青,常青路167号,18184元/㎡,165万
新南湖二环边精准三房诚心出售,3,2,1,102.22㎡,南北,低层(共33层),2011年建造,金地西岸故事,洪山,珞狮南路,珞狮路254号,17600元/㎡,179.9万
光谷广场地铁口 华乐山庄  三楼  朝南两房 鲁小卓中 急售,2,2,1,79.11㎡,南北,中层(共7层),2000年建造,华乐山庄,洪山,鲁巷,珞喻路716号,15043元/㎡,119万
招商江湾国际精装3房老证随时看房,3,2,2,108.06㎡,南北,低层(共33层),2018年建造,招商江湾国际,硚口,古田,古田二路,16195元/㎡,175万
正南 2室2厅 精装修,2,2,1,90.85㎡,南,中层(共6层),2013年建造,卧龙丽景湾香山苑,东西湖,金银湖,金南一路特1号,13099元/㎡,119万
房东诚心出售，中间楼层，前后阳台看花园，随时看房,3,2,2,118.48㎡,南,中层(共27层),2022年建造,百步亭和谐里,江岸,后湖,和谐大道555号,17894元/㎡,212万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,92.05㎡,南,高层(共33层),2012年建造,铂金天地,武昌,团结大道,沙湖路9号,17926元/㎡,165万
8号线11号线双地铁口 满二 两房朝南  南北通透 楼层好,2,2,1,68.62㎡,南北,低层(共7层),1998年建造,马房山教师小区,洪山,街道口,珞狮路395号,14865元/㎡,102万
     华润紫云府 婚房装修 采光好 业主急售 看房方便,3,2,1,90.05㎡,南北,中层(共34层),2017年建造,华润紫云府(二期),洪山,白沙洲,白沙四路50号,16214元/㎡,146万
捡漏！有钥匙一口价112万，低于市场价中高层无遮挡随时看,3,2,2,99.18㎡,南北,高层(共27层),2018年建造,保利清能西海岸(南区),江夏,藏龙岛,杨桥湖大道,11596元/㎡,115万
纽宾凯公园里  4房  老证  双地铁口  精装修,4,2,2,142.99㎡,南北,高层(共46层),2019年建造,纽宾凯公园里,汉阳,王家湾,赫山路,17834元/㎡,255万
98平 满二  住房 南北通透 电梯房 看房方便 有钥匙,3,2,1,98.61㎡,南北,中层(共31层),2016年建造,汉北大全景,黄陂,武湖,汉口北大道,8032元/㎡,79.2万
（新上）新小区满两年20楼清水毛坯三房满两年首付两成,3,2,1,88.75㎡,南,高层(共33层),2018年建造,东方雨林,江夏,庙山,阳光大道,10547元/㎡,93.6万
长江新区D铁口，中间楼层三房两卫，大横厅，双阳台,3,2,2,97.65㎡,南北,中层(共18层),2013年建造,翰林雅居,黄陂,武湖,庙咀路,7681元/㎡,75万
新出清江山水3期，好地段精装修，必看好房，懂得来，必入！,2,2,1,80.37㎡,南北,高层(共33层),2016年建造,清江山水,洪山,光谷软件园,软件园中路10号,19286元/㎡,155万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,137.2㎡,南北,高层(共7层),2001年建造,青翠苑社区房产院,青山,友谊大道,"青翠苑60-61,76-79门",8893元/㎡,122万
正南 3室2厅 精装修,3,2,1,91.01㎡,南,低层(共32层),2014年建造,世茂锦绣长江(4期),汉阳,鹦鹉,滨江大道192号,20328元/㎡,185万
正南 3室2厅 精装修,3,2,2,101.44㎡,南,高层(共34层),2019年建造,龙庭华府,蔡甸,蔡甸城区,汉江大道,6901元/㎡,70万
正南 2室2厅 精装修,2,2,1,89.14㎡,南,中层(共34层),2016年建造,光明上海公馆,江岸,后湖,塔子湖东路,21315元/㎡,190万
瑞园住宅小区93平精装2室2厅1卫,2,2,1,93㎡,南北,中层(共33层),2016年建造,瑞园住宅小区,汉阳,钟家村,五龙路,12689元/㎡,118万
中央公馆四期两房精装修央企品质 近地铁保养好拎包入住随时看,2,2,1,74.55㎡,南北,低层(共34层),2016年建造,保利中央公馆(G17-G22栋),洪山,新南湖,平安路5号,19853元/㎡,148万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,122.68㎡,南,高层(共45层),2015年建造,东原乐见城(K2地块),洪山,白沙洲,南李路105号,15325元/㎡,188万
洪山万科广场旁万科城市之光 纯新边户3房 业主诚心卖有钥匙！,3,2,2,122.93㎡,南北,低层(共33层),2022年建造,万科城市之光,洪山,白沙洲,白沙洲大道,19524元/㎡,240万
有车位 5楼好房 三房朝南 采光充足 欢迎看房 阳光花园,3,2,2,112.88㎡,南北,高层(共7层),2005年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,16833元/㎡,190万
房源采光好，南北通透，业主诚意出,3,2,1,91.9㎡,南北,高层(共18层),2014年建造,武湖新天地(北区),黄陂,武湖,武黄路,7835元/㎡,72万
房管备案好房保利3室产证满五 婚房精装 诚售随时可以看房,3,2,1,86.32㎡,南北,中层(共24层),2013年建造,保利海上五月花(一期),江夏,庙山,江夏大道31号,11006元/㎡,95万
捡漏地铁口带露台 单价8000电梯房 谁是可看,3,2,2,129.96㎡,南北,低层(共11层),2008年建造,海景花园(C区),东西湖,吴家山,二雅路50号,8311元/㎡,108万
正南 3室2厅 精装修,3,2,2,107.82㎡,南,中层(共32层),2017年建造,美联德玛假日(二期),东西湖,吴家山,黄狮海东路,10203元/㎡,110万
万科物业自营，三室二厅二卫精装未住过,3,2,2,117.37㎡,南北,中层(共32层),2016年建造,金湖听语,东西湖,金银湖,南一街2号,16018元/㎡,188万
顶琇晶城汉口火车站电梯房 共享CBD和天街,3,2,2,115.4㎡,南,低层(共34层),2009年建造,顶琇晶城,江汉,唐家墩,发展大道299号,17765元/㎡,205万
建二众园商圈 吾行里 南北通透 109平 居家自住 保养好,3,2,1,109.25㎡,南北,低层(共30层),2017年建造,吾行里,青山,建设二路,和平大道1248号,20321元/㎡,222万
沙湖必看好房 两室精装 国际城一期 中间楼层 随时看房,2,2,1,92.24㎡,南,高层(共32层),2001年建造,福星惠誉国际城(1期),武昌,团结大道,徐东大街28号,23092元/㎡,213万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,101.33㎡,南,高层(共26层),2007年建造,新域柠檬特区,洪山,光谷广场,卓刀泉路410号,16777元/㎡,170万
联投金色港湾  电梯洋房 户型方正  朝南采光好,3,2,1,90.88㎡,南,高层(共7层),2018年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,17606元/㎡,160万
南北通透 2室2厅 精装修,2,2,1,90.03㎡,南北,中层(共27层),2015年建造,长航蓝晶国际A区,洪山,关山,高新大道116号,22771元/㎡,205万
满五   南北通透 2室2厅,2,2,1,81.09㎡,南北,中层(共7层),2003年建造,绿之苑,洪山,关西,雄楚大道937号,17142元/㎡,139万
南北通透 101平 满二 电梯房 星河2049 楼层好 视野,3,2,2,101.85㎡,南北,高层(共44层),2020年建造,星河2049,江岸,百步亭,温馨路,15906元/㎡,162万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,124.65㎡,南北,低层(共30层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,19495元/㎡,243万
房源采光好，南北通透，业主诚意出,3,2,2,111.62㎡,南北,高层(共18层),2016年建造,汉北大全景,黄陂,武湖,汉口北大道,8512元/㎡,95万
汉阳王家湾摩尔城旁，精装三室，南北通透，楼层好拎包入住,3,2,2,120.75㎡,南,高层(共46层),2019年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,18882元/㎡,228万
房东直降10万。现在155万 ，王家湾中央商圈,3,2,1,106.9㎡,南北,高层(共34层),2018年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,15435元/㎡,165万
正南 2室2厅 精装修,2,2,1,77.14㎡,南,中层(共34层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,20872元/㎡,161万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,88.31㎡,南,高层(共18层),2007年建造,馨都雅园,武昌,杨园,和平大道751号,18685元/㎡,165万
精装修 3室2厅 电梯房 125平 东原启城(二期) 看房方,3,2,2,125.47㎡,南北,高层(共41层),2019年建造,东原启城(二期),洪山,白沙洲,烽胜路,16658元/㎡,209万
85平85万急售 罗家墩新寓 精装好两房 南北通透 拎包入住,2,2,1,84.97㎡,南北,低层(共6层),2006年建造,罗家墩新寓,硚口,古田,沿河大道629号,10004元/㎡,85万
2室2厅 双地铁 近公园 物业还好 家电全送 急卖可谈,2,2,1,80㎡,南北,低层(共31层),2020年建造,武汉恒大帝景,东西湖,吴家山,金山大道889号,11125元/㎡,89万
保利五月花，装修保养好，满二年，诚心卖，价格可以谈,3,2,1,86㎡,南北,低层(共24层),2014年建造,保利海上五月花(一期),江夏,庙山,江夏大道31号,11047元/㎡,95万
（真）保利新武昌 地铁口  边户精装三房,3,2,1,127.31㎡,南北,高层(共37层),2018年建造,保利新武昌,洪山,白沙洲,张家湾路8号,16967元/㎡,216万
谷尚居 电梯房 79平 2室2厅 诚心出售 价格可议,2,2,1,79.36㎡,南,高层(共11层),2009年建造,谷尚居,江夏,金融港,高新四路8号,16382元/㎡,130万
满二   正南 3室2厅 精装修,3,2,1,90.65㎡,南,中层(共18层),2017年建造,中国铁建梧桐苑,江夏,金融港,民族大道324号,20960元/㎡,190万
南北通透 刚需两房 地铁口 低密度 低总价 小高层 急售！,2,2,1,91.58㎡,南北,中层(共18层),2011年建造,汉口花园幽兰居,江岸,后湖,秋桂街19号,15506元/㎡,142万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,87.18㎡,南,中层(共32层),2010年建造,领秀城(一期),洪山,卓刀泉,雄楚大道489号,21450元/㎡,187万
房东急售 随时看房 精装两房 拎包入住,2,2,1,86㎡,南北,中层(共34层),2015年建造,清江锦城玺园,洪山,白沙洲,烽胜路55号,16163元/㎡,139万
急售汉口北轻轨旁精装修3房2厅，家电齐全拎包入住证满,3,2,1,117.14㎡,南北,高层(共34层),2019年建造,滠水春晓二期,黄陂,滠口,睿思路,8367元/㎡,98万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,1,114.13㎡,南北,中层(共33层),2015年建造,清江锦城沁园,洪山,白沙洲,白沙园路59号,14808元/㎡,169万
一线江景房 毛坯两房，老证,3,2,1,91.22㎡,南,高层(共57层),2006年建造,世茂锦绣长江5期,汉阳,钟家村,滨江大道193号,21926元/㎡,200万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.26㎡,南,中层(共11层),2005年建造,金地格林小城美茵区,洪山,珞狮南路,书城路81号,23234元/㎡,219万
满二，豪 华装修，8326平复式楼，3房2卫，采光好,3,2,2,83.25㎡,南,低层(共33层),2017年建造,东原湖光里,洪山,白沙洲,黄家湖大道501号,17058元/㎡,142万
八号线地铁口文昌路站旁珞珈雅苑精装两房产证满二中高层采光好,2,2,1,89.41㎡,南北,高层(共32层),2014年建造,珞珈雅苑,洪山,新南湖,书城路369号,16665元/㎡,149万
正南 3室2厅 精装修,3,2,2,114.25㎡,南,低层(共44层),2019年建造,融创融公馆(二期),江岸,后湖,青松路259号,18381元/㎡,210万
古南社区74.39平69万2室1厅1卫,2,1,1,74.39㎡,西,中层(共7层),2000年建造,古南社区,硚口,古田,田文街16号,9410元/㎡,70万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,117.21㎡,南,高层(共31层),2019年建造,菁英城(二期),洪山,白沙洲,八坦路,13481元/㎡,158万
